position,11x,11y,angle,percentage,polarity
"11,13,15",1125,390,261.9429281258727,23.885856251745395,1
"11,13,15",1124,390,263.0244408046968,26.04888160939356,1
"11,13,15",1124,390,265.99383464483475,31.987669289669498,1
"11,13,15",1124,389,268.94878063076186,37.89756126152372,1
"11,13,15",1126,388,269.77782757076426,39.55565514152852,1
"11,13,15",1127,386,270.7481640153828,41.49632803076565,1
"11,13,15",1127,384,272.6889604258509,45.37792085170179,1
"11,13,15",1126,384,274.44991930916234,48.89983861832468,1
"11,13,15",1125,385,275.51101716353173,51.022034327063466,1
"11,13,15",1125,385,275.670848007378,51.34169601475605,1
"11,13,15",1125,385,275.36885628797097,50.73771257594194,1
"11,13,15",1125,385,276.81125098546283,53.62250197092567,1
"11,13,15",1128,382,279.1881599346449,58.37631986928977,1
"11,13,15",1130,382,281.59654030666263,63.193080613325264,1
"11,13,15",1133,384,283.51805067014055,67.0361013402811,1
"11,13,15",1134,385,285.96602384671394,71.93204769342788,1
"11,13,15",1134,388,288.3961276276569,76.79225525531376,1
"11,13,15",1134,388,290.2502824680007,80.50056493600141,1
"11,13,15",1134,389,291.622557949354,83.24511589870804,1
"11,13,15",1134,389,293.263453128927,86.52690625785397,1
"11,13,15",1134,388,295.0255711588833,90.05114231776656,1
"11,13,15",1134,388,295.68724785791534,91.37449571583068,1
"11,13,15",1134,389,296.6206601335864,93.2413202671728,1
"11,13,15",1133,391,298.877324433528,97.75464886705595,1
"11,13,15",1131,391,300.37334421859157,100.0,1
"11,13,15",1129,392,301.6620615697463,100.0,1
"11,13,15",1128,393,302.6598678579295,100.0,1
"11,13,15",1127,393,304.0630816537778,100.0,1
"11,13,15",1126,395,304.6889480260154,100.0,1
"11,13,15",1126,397,304.9766745461705,100.0,1
"11,13,15",1126,400,305.27039462685997,100.0,1
"11,13,15",1126,402,306.22205679506067,100.0,1
"11,13,15",1129,403,306.35337278634995,100.0,1
"11,13,15",1130,403,306.8174897544761,100.0,1
"11,13,15",1131,403,307.1271981789403,100.0,1
"11,13,15",1133,403,307.74489606068397,100.0,1
"11,13,15",1137,403,307.5420069407626,100.0,1
"11,13,15",1138,403,307.94928674007053,100.0,1
"11,13,15",1138,403,308.5773507169806,100.0,1
"11,13,15",1139,403,308.970590119583,100.0,1
"11,13,15",1140,403,309.1733959687524,100.0,1
"11,13,15",1140,403,309.99607107883753,100.0,1
"11,13,15",1140,402,310.14387870657055,100.0,1
"11,13,15",1140,401,310.28998137649916,100.0,1
"11,13,15",1140,400,310.16860365370616,100.0,1
"11,13,15",1140,400,310.14678432930486,100.0,1
"11,13,15",1142,399,309.63449818900943,100.0,1
"11,13,15",1142,398,309.49004833195687,100.0,1
"11,13,15",1143,397,309.3068851495213,100.0,1
"11,13,15",1143,397,309.2805997450403,100.0,1
"11,13,15",1142,397,308.8643445445301,100.0,1
"11,13,15",1143,397,308.2413287991194,100.0,1
"11,13,15",1143,398,307.7155490843892,100.0,1
"11,13,15",1142,398,307.45574748701574,100.0,1
"11,13,15",1140,398,307.67019345275935,100.0,1
"11,13,15",1140,398,307.08205754492565,100.0,1
"11,13,15",1140,398,306.09286482953166,100.0,1
"11,13,15",1140,398,305.3078815831021,100.0,1
"11,13,15",1137,398,304.73005463590675,100.0,1
"11,13,15",1134,398,304.1737502603715,100.0,1
"11,13,15",1134,397,302.97411001402384,100.0,1
"11,13,15",1133,396,301.1079459050022,100.0,1
"11,13,15",1133,395,300.3381694671549,100.0,1
"11,13,15",1133,392,299.24433538510243,98.48867077020486,1
"11,13,15",1134,391,297.6001235519725,95.200247103945,1
"11,13,15",1135,390,296.4590039493787,92.91800789875742,1
"11,13,15",1137,389,293.89812973994293,87.79625947988586,1
"11,13,15",1137,389,291.2533267121529,82.5066534243058,1
"11,13,15",1138,389,288.6045823384405,77.20916467688096,1
"11,13,15",1140,389,285.6049331244384,71.20986624887678,1
"11,13,15",1144,388,283.0128834886277,66.02576697725544,1
"11,13,15",1145,388,279.61543326082045,59.230866521640905,1
"11,13,15",1147,388,274.9711920092447,49.942384018489406,1
"11,13,15",1147,387,271.5997787209062,43.19955744181243,1
"11,13,15",1147,387,269.0410183516195,38.082036703239055,1
"11,13,15",1147,387,268.7960749520394,37.59214990407884,1
"11,13,15",1147,387,268.5130239247852,37.02604784957043,1
"11,13,15",1147,386,266.80389798049094,33.60779596098189,1
"11,13,15",1147,386,264.75295472092705,29.5059094418541,1
"11,13,15",1147,385,263.44062191382193,26.881243827643857,1
"11,13,15",1147,385,263.68083410947935,27.361668218958698,1
"11,13,15",1146,386,258.5258861157737,17.051772231547375,1
"11,13,15",1146,386,254.79230714648827,9.58461429297654,1
"11,13,15",1144,386,251.81816707904443,3.6363341580888573,1
"11,13,15",1143,385,249.45798873888742,0.0,1
"11,13,15",1142,385,248.0172541074101,0.0,1
"11,13,15",1141,385,247.070693524446,0.0,1
"11,13,15",1139,384,246.75796382493067,0.0,1
"11,13,15",1139,382,245.95472000523347,0.0,1
"11,13,15",1139,381,243.49282078641303,0.0,1
"11,13,15",1140,380,241.0446158808234,0.0,1
"11,13,15",1140,380,238.79748457168967,0.0,1
"11,13,15",1140,379,236.77057008739283,0.0,1
"11,13,15",1140,378,235.27609009553336,0.0,1
"11,13,15",1139,379,233.62052022849724,0.0,1
"11,13,15",1138,380,232.72841323077589,0.0,1
"11,13,15",1137,381,230.94759062481702,0.0,1
