position,11x,11y,angle,percentage,polarity
"11,13,15",284,282,175.45976933865535,0.0,1
"11,13,15",284,280,177.09766219844187,0.0,1
"11,13,15",284,279,178.73814913567367,0.0,1
"11,13,15",285,279,181.0744897120386,0.0,1
"11,13,15",286,279,182.30980345253943,0.0,1
"11,13,15",287,279,184.08470361874586,0.0,1
"11,13,15",288,280,186.22968369214422,0.0,1
"11,13,15",289,280,188.2123057116885,0.0,1
"11,13,15",291,280,190.1396035132131,0.0,1
"11,13,15",293,281,192.79721495205297,0.0,1
"11,13,15",294,281,194.9071796468371,0.0,1
"11,13,15",294,281,198.57498711131495,0.0,1
"11,13,15",295,281,202.08670387706414,0.0,1
"11,13,15",296,281,206.35808146620275,0.0,1
"11,13,15",297,282,211.11355451767682,0.0,1
"11,13,15",297,282,216.53344630038228,0.0,1
"11,13,15",297,281,222.06071337494606,2.0607133749460615,1
"11,13,15",298,281,228.8600344116182,8.860034411618187,1
"11,13,15",299,281,236.03962740183601,16.039627401836015,1
"11,13,15",300,281,244.1656130767248,24.16561307672481,1
"11,13,15",301,280,251.60419006278948,31.604190062789485,1
"11,13,15",301,281,257.97759755193636,37.977597551936356,1
"11,13,15",301,281,263.80301986387894,43.803019863878944,1
"11,13,15",301,282,270.6680112168405,50.66801121684051,1
"11,13,15",301,283,279.56126117343797,59.56126117343797,1
"11,13,15",301,283,287.11612898272665,67.11612898272665,1
"11,13,15",300,284,292.79510577858946,72.79510577858946,1
"11,13,15",300,284,297.89727103094765,77.89727103094765,1
"11,13,15",300,285,303.8167718296392,83.81677182963921,1
"11,13,15",300,286,306.24331123021193,86.24331123021193,1
"11,13,15",300,288,308.6008885195914,88.60088851959142,1
"11,13,15",300,288,311.7357162759815,91.73571627598147,1
"11,13,15",300,288,314.2908551561196,94.29085515611962,1
"11,13,15",299,287,316.97900848820143,96.97900848820143,1
"11,13,15",298,287,319.9207071247509,99.92070712475089,1
"11,13,15",297,287,323.98820808359443,100.0,1
