position,11x,11y,angle,percentage,polarity
"11,13,15",252,241,197.77780429736626,0.0,0
"11,13,15",256,251,197.85793615061263,0.0,0
"11,13,15",259,255,197.53275097091878,0.0,0
"11,13,15",262,256,197.1519906088324,0.0,0
"11,13,15",265,256,197.35890845648882,0.0,0
"11,13,15",265,257,197.89021758720548,0.0,0
"11,13,15",266,257,197.95153659608238,0.0,0
"11,13,15",267,257,199.3040017263637,0.0,0
"11,13,15",268,256,199.72568327561805,0.0,0
"11,13,15",269,256,201.75294172747954,0.0,0
"11,13,15",270,259,203.36519157058504,0.0,0
"11,13,15",271,259,201.54244412816453,0.0,0
"11,13,15",271,260,198.8502236252399,0.0,0
"11,13,15",271,260,200.53456333112695,0.0,0
"11,13,15",272,265,329.7683744649554,100.0,0
"11,13,15",274,268,237.16334946837713,17.163349468377135,0
"11,13,15",275,267,259.184911747844,39.18491174784401,0
"11,13,15",276,267,251.96094137560752,31.96094137560752,0
"11,13,15",278,269,282.07213734683586,62.07213734683586,0
"11,13,15",282,272,266.18925805963374,46.189258059633744,0
"11,13,15",286,276,268.35986131633666,48.35986131633666,0
"11,13,15",287,278,278.5843062670376,58.58430626703762,0
"11,13,15",287,281,308.0194842150449,88.01948421504488,0
"11,13,15",288,286,332.9359708266798,100.0,0
"11,13,15",292,293,337.2344132441892,100.0,0
"11,13,15",295,299,352.36123196434846,100.0,0
"11,13,15",298,305,355.15960619338153,100.0,0
"11,13,15",301,306,352.280451344803,100.0,0
"11,13,15",301,308,353.7217587678643,100.0,0
"11,13,15",306,313,353.7731524331787,100.0,0
"11,13,15",312,315,353.7375886438705,100.0,0
"11,13,15",319,320,354.3231161534317,100.0,0
"11,13,15",323,320,344.8712158833069,100.0,0
"11,13,15",323,319,342.081575068024,100.0,0
"11,13,15",326,318,338.9404266809004,100.0,0
"11,13,15",328,318,335.35349631683493,100.0,0
"11,13,15",329,318,335.5291700309697,100.0,0
"11,13,15",332,318,335.0595512899766,100.0,0
"11,13,15",333,320,335.81767666944984,100.0,0
"11,13,15",332,323,336.5626977039803,100.0,0
"11,13,15",336,323,335.7918081247985,100.0,0
"11,13,15",341,322,334.449095437337,100.0,0
"11,13,15",340,321,333.72562206175166,100.0,0
"11,13,15",340,321,333.5788042809259,100.0,0
"11,13,15",339,321,334.0002576245546,100.0,0
"11,13,15",339,322,335.87982655526537,100.0,0
"11,13,15",342,322,335.60200798347046,100.0,0
"11,13,15",342,323,335.70444045888826,100.0,0
"11,13,15",343,323,336.2389697163211,100.0,0
"11,13,15",345,323,336.70630297839045,100.0,0
"11,13,15",349,323,336.67467127544745,100.0,0
"11,13,15",349,324,337.529153501998,100.0,0
"11,13,15",348,325,337.83651528321775,100.0,0
"11,13,15",348,326,337.44220396821004,100.0,0
"11,13,15",348,328,337.0798684311799,100.0,0
"11,13,15",350,328,335.12029735293396,100.0,0
"11,13,15",350,329,335.2466200755882,100.0,0
"11,13,15",349,330,338.54389286175734,100.0,0
"11,13,15",349,331,337.87244616895237,100.0,0
"11,13,15",348,333,340.093605898163,100.0,0
"11,13,15",346,335,339.7799990560077,100.0,0
"11,13,15",341,336,342.1392047050205,100.0,0
"11,13,15",339,336,340.51163734282244,100.0,0
"11,13,15",334,334,332.67959477455753,100.0,0
"11,13,15",332,331,321.2517167212712,100.0,0
"11,13,15",327,326,298.7439612186869,78.74396121868688,0
"11,13,15",325,325,286.7302205039148,66.73022050391478,0
"11,13,15",325,325,244.55384850965743,24.553848509657428,0
"11,13,15",328,325,225.66725105858018,5.667251058580177,0
"11,13,15",328,323,235.99091695379332,15.990916953793317,0
"11,13,15",329,321,220.91578101898833,0.9157810189883264,0
"11,13,15",331,321,228.60729449401205,8.607294494012052,0
"11,13,15",331,321,221.74240101306495,1.7424010130649492,0
"11,13,15",335,323,225.01142943920868,5.011429439208683,0
"11,13,15",336,323,210.61276839927964,0.0,0
"11,13,15",336,323,199.3939755277347,0.0,0
"11,13,15",336,323,202.01541649610246,0.0,0
"11,13,15",336,323,203.80454823841922,0.0,0
"11,13,15",336,323,196.69540289410924,0.0,0
"11,13,15",337,324,195.48831920315,0.0,0
"11,13,15",338,324,183.16358214425864,0.0,0
"11,13,15",338,325,179.00879022679814,0.0,0
"11,13,15",341,328,179.3322544620265,0.0,0
"11,13,15",342,329,186.67663737059192,0.0,0
"11,13,15",344,331,190.46740085238562,0.0,0
"11,13,15",346,332,193.52721242306757,0.0,0
"11,13,15",346,332,196.00757094632186,0.0,0
"11,13,15",346,331,196.72647606631244,0.0,0
"11,13,15",346,331,197.5656315972215,0.0,0
"11,13,15",345,331,200.12163792674843,0.0,0
"11,13,15",345,332,201.14323174817383,0.0,0
"11,13,15",345,332,200.7659205405729,0.0,0
"11,13,15",343,333,201.4912199140882,0.0,0
"11,13,15",342,334,201.15007214848964,0.0,0
"11,13,15",341,335,200.74289054189074,0.0,0
